一	m
壽	gi
夏	me
夔	te
夕	ni
外	ny
夙	hi
多	ni
夜	yk
夠	nr
夥	wn
夢	tn
夤	nc
大	k
天	mk
夫	qo
太	ki
夭	hk
央	lk
失	ho
夷	kn
夸	ks
夾	ko
奉	qq
奇	kr
奈	kf
奄	ku
奔	kt
奕	yk
契	qk
奏	qk
奎	kg
奐	nk
套	ki
奘	vk
奚	bk
奢	ka
奠	tk
奧	hk
奪	ki
奩	kr
奮	kw
女	v
奴	ve
奶	vs
妄	yv
奸	vj
妃	vu
好	vd
她	vd
如	vr
妁	vi
妝	vv
妒	vs
妨	vs
妞	vg
妣	vp
妙	vh
妖	vk
妍	vt
妤	vn
妓	ve
妊	vg
妥	bv
妾	yv
妻	jv
委	hv
妹	vd
妮	vp
姑	vr
姆	vi
姐	vm
姍	vt
始	vr
姓	vm
姊	vh
妯	vw
妳	vf
姒	vo
姜	tv
姘	vt
姿	mv
姣	vk
姨	vn
娃	vg
姥	vp
姪	vg
姚	vo
姦	vv
威	iv
姻	vk
娑	ev
娘	vv
娜	vl
娟	vb
娛	vk
娓	vu
姬	vl
娠	vv
娣	vh
娩	vu
娥	vi
娌	vg
娶	sv
婁	lv
婉	vu
婦	vb
婪	dv
婀	vr
娼	va
婢	vj
婚	va
婆	ev
婊	vv
婷	vn
媚	vu
婿	vb
媒	vd
媛	ve
嫁	vo
嫉	vk
嫌	vc
媾	vb
媽	vf
媼	vt
媳	vp
嫂	ve
媲	vp
嫡	vb
嫦	vb
嫩	vk
嫗	vr
嫖	vf
嫘	vf
嫣	vf
嬉	vr
嫻	vd
嬋	vj
嫵	vf
嬌	vb
嬝	vv
嬴	yv
嬰	bv
嬪	vc
嬤	vi
嬸	vw
孀	vu
子	nd
孑	nm
孓	no
孔	nu
孕	nd
字	jd
存	kd
孝	jd
孜	nk
孚	bd
孟	nt
孤	no
季	hd
孩	no
孫	nf
孰	yi
孳	td
孱	sd
孵	hd
學	hd
孺	nb
孽	td
孿	vd
它	jp
宇	jd
守	ji
宅	jp
安	jv
完	ju
宋	jd
宏	ji
宗	jf
定	jo
官	jr
宜	jm
宙	jw
宛	ju
宣	jm
宦	jl
室	jg
客	jr
宥	jb
宰	jj
害	jr
家	jo
宴	jv
宮	jr
宵	jb
容	jr
宸	jv
寇	je
寅	jc
寄	jr
寂	je
宿	ja
密	ju
寒	jy
富	jw
寓	jb
寐	jd
寞	jk
寧	jn
寡	jh
寥	jh
實	jc
寨	jd
寢	je
寤	jr
察	jf
寮	jf
寬	ji
審	jw
寫	jf
寵	jp
寶	jc
寸	di
寺	gi
封	gi
射	hi
尉	si
專	ji
將	vi
尊	ti
尋	si
對	ti
導	yi
小	nc
少	fh
尖	fk
尚	fr
尤	iu
尬	kl
就	yu
尷	kt
尸	s
尺	so
尼	sp
局	sr
屁	sp
尿	se
尾	su
屈	su
居	sr
屆	sg
屎	sd
屏	st
屍	sp
屋	sg
屑	sb
展	sv
屐	se
屠	sa
屜	st
屢	sv
層	sa
履	se
屬	si
屯	pu
山	u
屹	un
岐	ue
岑	un
岔	cu
岌	ue
岷	up
岡	bu
岸	uj
岩	ur
岫	uw
岱	ou
岳	ou
峙	ui
峭	ub
峽	uo
峻	ue
峪	ur
峨	ui
峰	uj
島	hu
崁	uo
崇	uf
崆	um
崎	ur
崛	uu
崖	ug
崢	ud
崑	up
崩	ub
崔	ug
崙	ub
嵌	uo
嵐	ui
嵩	ub
嶄	ul
嶇	ur
嶝	ut
嶼	uc
嶺	uc
嶽	uk
巍	ui
巔	uc
巒	vu
巖	uk
川	ll
州	il
巢	vd
工	mm
巨	ss
巧	ms
左	km
巫	mo
差	tm
己	su
已	su
巳	ru
巴	au
巷	tu
巽	rc
巾	lb
市	yb
布	kb
帆	li
希	kb
帘	jb
帚	sb
帖	lr
帕	la
帛	hb
帑	vb
帝	yb
帥	hb
席	ib
師	hb
常	fb
帶	kb
帳	lv
帷	lg
幅	lw
帽	lu
幀	lc
幌	lu
幛	lj
幣	fb
幕	tb
幗	lm
幔	le
幢	lg
幟	la
幫	gb
干	mj
平	mj
并	tt
年	oq
幸	gj
幹	jj
