一	yī
吾	wú
吾	yù
豆	dòu
两	liǎng
酉	yǒu
丽	lì
丽	lí
医	yī
辰	chén
励	lì
否	fǒu
否	pǐ
还	hái
还	huán
尬	gà
歼	jiān
来	lái
连	lián
轩	xuān
步	bù
卤	lǔ
坚	jiān
肖	xiāo
肖	xiào
旱	hàn
盯	dīng
呈	chéng
时	shí
吴	wú
助	zhù
助	chú
县	xiàn
县	xuán
里	lǐ
呆	dāi
吱	zhī
吱	zī
吠	fèi
呕	ǒu
呕	ōu
呕	òu
园	yuán
旷	kuàng
围	wéi
呀	yā
呀	ya
吨	dūn
足	zú
邮	yóu
男	nán
困	kùn
吵	chǎo
吵	chāo
串	chuàn
员	yuán
员	yún
员	yùn
呐	nà
呐	nè
听	tīng
吟	yín
吩	fēn
呛	qiāng
呛	qiàng
吻	wěn
吹	chuī
呜	wū
吭	háng
吭	kēng
吧	bā
吧	ba
邑	yì
吼	hǒu
囤	dùn
囤	tún
别	bié
别	biè
吮	shǔn
岖	qū
岗	gǎng
帐	zhàng
财	cái
针	zhēn
钉	dīng
钉	dìng
牡	mǔ
告	gào
我	wǒ
乱	luàn
利	lì
秃	tū
秀	xiù
私	sī
每	měi
兵	bīng
估	gū
估	gù
体	tǐ
体	tī
何	hé
何	hē
何	hè
佐	zuǒ
佑	yòu
但	dàn
伸	shēn
佃	diàn
佃	tián
作	zuò
伯	bó
伯	bǎi
伯	bà
伶	líng
佣	yōng
佣	yòng
低	dī
你	nǐ
住	zhù
位	wèi
伴	bàn
身	shēn
皂	zào
伺	sì
伺	cì
佛	fó
佛	fú
佛	bì
佛	bó
囱	cōng
近	jìn
彻	chè
役	yì
返	fǎn
余	yú
希	xī
坐	zuò
谷	gǔ
谷	yù
妥	tuǒ
含	hán
邻	lín
岔	chà
肝	gān
肛	gāng
肚	dù
肚	dǔ
肘	zhǒu
肠	cháng
龟	guī
龟	jūn
龟	qiū
甸	diàn
甸	tián
甸	shèng
免	miǎn
狂	kuáng
犹	yóu
狈	bèi
角	jiǎo
角	jué
删	shān
条	tiáo
条	tiāo
彤	tóng
卵	luǎn
灸	jiǔ
岛	dǎo
刨	páo
刨	bào
迎	yíng
饭	fàn
饮	yǐn
系	xì
系	jì
言	yán
冻	dòng
状	zhuàng
亩	mǔ
况	kuàng
床	chuáng
库	kù
庇	bì
疗	liáo
吝	lìn
应	yīng
应	yìng
这	zhè
这	zhèi
冷	lěng
庐	lú
序	xù
辛	xīn
弃	qì
冶	yě
忘	wàng
闰	rùn
闲	xián
间	jiān
间	jiàn
闷	mèn
闷	mēn
判	pàn
兑	duì
兑	ruì
兑	yuè
灶	zào
灿	càn
灼	zhuó
弟	dì
弟	tì
弟	tuí
汪	wāng
沐	mù
沛	pèi
汰	tài
沥	lì
沙	shā
沙	shà
汽	qì
沃	wò
沦	lún
汹	xiōng
泛	fàn
沧	cāng
没	méi
没	mò
沟	gōu
沪	hù
沈	shěn
沈	chén
沉	chén
沁	qìn
怀	huái
忧	yōu
忱	chén
快	kuài
完	wán
宋	sòng
宏	hóng
牢	láo
究	jiū
穷	qióng
灾	zāi
良	liáng
证	zhèng
启	qǐ
