一	yī
廿	niàn
丏	miǎn
卅	sà
仄	zè
厄	è
仃	dīng
仉	zhǎng
仂	lè
兮	xī
刈	yì
爻	yáo
卞	biàn
闩	shuān
讣	fù
尹	yǐn
夬	guài
爿	pán
毋	wú
邗	hán
邛	qióng
艽	jiāo
艽	qiú
艿	nǎi
札	zhá
叵	pǒ
匝	zā
丕	pī
匜	yí
劢	mài
卟	bǔ
叱	chì
叻	lè
仨	sā
仕	shì
仟	qiān
仡	yì
仡	gē
仫	mù
仞	rèn
卮	zhī
氐	dī
氐	dǐ
犰	qiú
刍	chú
邝	kuàng
邙	máng
汀	tīng
讦	jié
讧	hòng
讪	shàn
讫	qì
尻	kāo
阡	qiān
尕	gǎ
弁	biàn
驭	yù
匡	kuāng
耒	lěi
玎	dīng
玑	jī
邢	xíng
圩	wéi
圩	xū
圬	wū
圭	guī
扦	qiān
圪	gē
圳	zhèn
圹	kuàng
扪	mén
圮	pǐ
圯	yí
芊	qiān
芍	sháo
芄	wán
芨	jī
芑	qǐ
芎	xiōng
芗	xiāng
亘	gèn
厍	shè
夼	kuǎng
戍	shù
尥	liào
乩	jī
旯	lá
曳	yè
岌	jí
屺	qǐ
凼	dàng
囡	nān
钇	yǐ
缶	fǒu
氘	dāo
氖	nǎi
牝	pìn
伎	jì
伎	qí
伛	yǔ
伢	yá
佤	wǎ
仵	wǔ
伥	chāng
伧	cāng
伧	chen
伉	kàng
伫	zhù
囟	xìn
汆	cuān
刖	yuè
夙	sù
旮	gā
刎	wěn
犷	guǎng
犸	mǎ
舛	chuǎn
凫	fú
邬	wū
饧	xíng
汕	shàn
汔	qì
汐	xī
汲	jí
汜	sì
汊	chà
忖	cǔn
忏	chàn
讴	ōu
讵	jù
祁	qí
讷	nè
聿	yù
艮	gèn
厾	dū
阱	jǐng
阮	ruǎn
阪	bǎn
丞	chéng
妁	shuò
牟	móu
牟	mù
纡	yū
纣	zhòu
纥	hé
纥	gē
纨	wán
玕	gān
玙	yú
抟	tuán
抔	póu
圻	qí
圻	yín
坂	bǎn
坍	tān
坞	wù
抃	biàn
抉	jué
㧐	sǒng
芫	yuán
芫	yán
邯	hán
芸	yún
芾	fèi
芾	fú
苈	lì
苣	jù
苣	qǔ
芷	zhǐ
芮	ruì
苋	xiàn
芼	máo
芼	mào
苌	cháng
苁	cōng
芩	qín
芪	qí
芡	qiàn
芟	shān
苄	biàn
苎	zhù
苡	yǐ
杌	wù
杓	sháo
杓	biāo
杞	qǐ
杈	chā
杈	chà
忑	tè
孛	bèi
孛	bó
邴	bǐng
邳	pī
矶	jī
奁	lián
豕	shǐ
忒	tè
忒	tuī
忒	tēi
欤	yú
轫	rèn
迓	yà
邶	bèi
忐	tǎn
卣	yǒu
邺	yè
旰	gàn
旰	hàn
呋	fū
呒	fǔ
呒	ḿ
呓	yì
呔	dāi
呔	tǎi
呖	lì
呃	è
旸	yáng
吡	pǐ
吡	bǐ
町	tǐng
町	dīng
虬	qiú
呗	bei
呗	bài
吽	hǒu
吽	hōng
吽	ōu
吣	qìn
吲	yǐn
吲	shěn
帏	wéi
岐	qí
岈	yá
岘	xiàn
岑	cén
岚	lán
兕	sì
囵	lún
囫	hú
钊	zhāo
钋	pō
钌	liǎo
钌	liào
迕	wǔ
氙	xiān
氚	chuān
牤	māng
佞	nìng
邱	qiū
攸	yōu
佚	yì
佚	dié
佝	gōu
佝	kòu
佟	tóng
佗	tuó
伽	qié
伽	jiā
伽	gā
彷	páng
彷	fǎng
佘	shé
佥	qiān
孚	fú
豸	zhì
坌	bèn
肟	wò
邸	dǐ
奂	huàn
劬	qú
狄	dí
狁	yǔn
鸠	jiū
邹	zōu
饨	tún
饩	xì
饪	rèn
饫	yù
饬	chì
亨	hēng
亨	pēng
庑	wǔ
庋	guǐ
疔	dīng
疖	jiē
肓	huāng
闱	wéi
闳	hóng
闵	mǐn
羌	qiāng
炀	yáng
沣	fēng
沅	yuán
沔	miǎn
沤	òu
沤	ōu
沌	dùn
沌	zhuàn
沏	qī
沚	zhǐ
汩	gǔ
汩	yù
汨	mì
沂	yí
汾	fén
沨	fēng
汴	biàn
汶	wèn
汶	mén
沆	hàng
沩	wéi
泐	lè
怃	wǔ
怄	òu
忡	chōng
忤	wǔ
忾	kài
忾	xì
怅	chàng
忻	xīn
忪	sōng
忪	zhōng
怆	chuàng
忭	biàn
忸	niǔ
诂	gǔ
诃	hē
诅	zǔ
诋	dǐ
诌	zhōu
诏	zhào
诒	yí
诒	dài
孜	zī
陇	lǒng
陀	tuó
陂	bēi
陂	pí
陂	pō
陉	xíng
妍	yán
妩	wǔ
妪	yù
妣	bǐ
妊	rèn
妗	jìn
妫	guī
妞	niū
妞	hào
姒	sì
妤	yú
邵	shào
劭	shào
刭	jǐng
甬	yǒng
邰	tái
纭	yún
纰	pī
纰	pí
纰	bǐ
纴	rèn
纶	lún
纶	guān
纾	shū
玮	wěi
玡	yà
玭	pín
玠	jiè
玢	bīn
玢	fēn
玥	yuè
玦	jué
盂	yú
忝	tiǎn
匦	guǐ
坩	gān
抨	pēng
拤	qiǎ
坫	diàn
拈	niān
垆	lú
抻	chēn
劼	jié
拃	zhǎ
拊	fǔ
坼	chè
坻	dǐ
坻	chí
㧟	kuǎi
坨	tuó
坭	ní
抿	mǐn
坳	ào
耶	yé
耶	yē
苷	gān
苯	běn
苤	piě
茏	lóng
苫	shān
苫	shàn
苜	mù
苴	jū
苴	chá
苒	rǎn
苘	qǐng
茌	chí
苻	fú
苓	líng
茚	yìn
茆	máo
茑	niǎo
茓	xué
茔	yíng
茕	qióng
茀	fú
苕	tiáo
苕	sháo
枥	lì
枇	pí
杪	miǎo
杳	yǎo
枧	jiǎn
杵	chǔ
枨	chéng
枞	cōng
枞	zōng
枋	fāng
枋	bìng
杻	niǔ
杻	chǒu
杷	pá
杼	zhù
矸	gān
砀	dàng
刳	kū
奄	yǎn
奄	yān
瓯	ōu
殁	mò
郏	jiá
轭	è
郅	zhì
鸢	yuān
盱	xū
昊	hào
昙	tán
杲	gǎo
昃	zè
咂	zā
呸	pēi
昕	xīn
昀	yún
旻	mín
昉	fǎng
炅	jiǒng
炅	guì
咔	kǎ
畀	bì
虮	jǐ
咀	jǔ
咀	zuǐ
呷	xiā
呷	gā
黾	mǐn
黾	miǎn
黾	měng
呱	guā
呱	gū
呱	guǎ
呤	líng
咚	dōng
咆	páo
咛	níng
呶	náo
呣	ḿ
呣	m̀
呣	móu
呦	yōu
咝	sī
岢	kě
岿	kuī
岬	jiǎ
岫	xiù
帙	zhì
岣	gǒu
峁	mǎo
刿	guì
迥	jiǒng
岷	mín
剀	kǎi
帔	pèi
峄	yì
沓	tà
沓	dá
囹	líng
罔	wǎng
钍	tǔ
钎	qiān
钏	chuàn
钒	fán
钕	nǚ
钗	chāi
邾	zhū
迮	zé
牦	máo
竺	zhú
竺	dǔ
迤	yǐ
迤	yí
佶	jí
佬	lǎo
佰	bǎi
侑	yòu
侉	kuǎ
臾	yú
岱	dài
侗	dòng
侗	tóng
侗	tǒng
侃	kǎn
侏	zhū
侩	kuài
佻	tiāo
佾	yì
侪	chái
佼	jiǎo
佯	yáng
侬	nóng
帛	bó
阜	fù
侔	móu
徂	cú
刽	guì
郄	qiè
郄	xì
怂	sǒng
籴	dí
瓮	wèng
戗	qiāng
戗	qiàng
肼	jǐng
䏝	chún
䏝	zhuǎn
肽	tài
肱	gōng
肫	zhūn
肫	chún
剁	duò
迩	ěr
郇	xún
郇	huán
狙	jū
狎	xiá
狍	páo
狒	fèi
咎	jiù
炙	zhì
枭	xiāo
饯	jiàn
饴	yí
冽	liè
冼	xiǎn
庖	páo
疠	lì
疠	lài
疝	shàn
疡	yáng
兖	yǎn
妾	qiè
劾	hé
炜	wěi
𬉼	ōu
𬉼	ǒu
炖	dùn
炘	xìn
炝	qiàng
炔	quē
炔	guì
泔	gān
沭	shù
泷	lóng
泷	shuāng
泸	lú
泱	yāng
泅	qiú
泗	sì
泠	líng
泺	luò
泺	pō
泖	mǎo
泫	xuàn
泮	pàn
沱	tuó
泯	mǐn
泓	hóng
泾	jīng
怙	hù
怵	chù
怦	pēng
怛	dá
怏	yàng
怍	zuò
怍	zhà
㤘	chù
㤘	cù
㤘	zhòu
怩	ní
怫	fú
怿	yì
宕	dàng
穹	qióng
宓	mì
宓	fú
诓	kuāng
诔	lěi
诖	guà
诘	jié
诘	jí
戾	lì
诙	huī
戽	hù
郓	yùn
衩	chà
祆	xiān
祎	yī
祉	zhǐ
祇	zhǐ
祇	qí
诛	zhū
诜	shēn
诟	gòu
诠	quán
诣	yì
诤	zhèng
诧	chà
诨	hùn
诩	xǔ
戕	qiāng
孢	bāo
亟	jí
亟	qì
陔	gāi
妲	dá
妯	zhóu
姗	shān
姗	shàn
帑	tǎng
帑	nú
弩	nǔ
孥	nú
驽	nú
虱	shī
迦	jiā
迨	dài
绀	gàn
绁	xiè
绂	fú
驷	sì
驸	fù
绉	zhòu
绌	chù
驿	yì
骀	tái
甾	zāi
甾	zī
珏	jué
珐	fà
珂	kē
珑	lóng
玳	dài
珀	pò
顸	hān
珉	mín
珈	jiā
拮	jié
拮	jiá
垭	yā
挝	zhuā
挝	wō
垣	yuán
挞	tà
垤	dié
赳	jiū
贲	bì
贲	bēn
垱	dàng
垌	dòng
垌	tóng
郝	hǎo
垧	shǎng
垓	gāi
挦	xián
垠	yín
茜	qiàn
茜	xī
荚	jiá
荑	yí
荑	tí
贳	shì
荜	bì
莒	jǔ
茼	tóng
茴	huí
茱	zhū
莛	tíng
荞	qiáo
茯	fú
荏	rěn
荇	xìng
荃	quán
荟	huì
荀	xún
茗	míng
荠	jì
荠	qí
茭	jiāo
茨	cí
垩	è
荥	xíng
荥	yīng
荦	luò
荨	qián
荨	xún
荩	jìn
剋	kēi
剋	kè
荪	sūn
茹	rú
荬	mǎi
荮	zhòu
柰	nài
栉	zhì
柯	kē
柘	zhè
栊	lóng
柩	jiù
枰	píng
栌	lú
柙	xiá
枵	xiāo
柚	yòu
柚	yóu
枳	zhǐ
柞	zuò
柞	zhà
柝	tuò
栀	zhī
柢	dǐ
柢	chí
栎	lì
栎	yuè
枸	jǔ
枸	gǒu
柈	pán
柈	bàn
柁	tuó
柁	duò
枷	jiā
柽	chēng
剌	là
剌	lá
酊	dīng
酊	dǐng
郦	lì
郦	zhí
甭	béng
砗	chē
砘	dùn
砒	pī
斫	zhuó
砭	biān
砜	fēng
奎	kuí
耷	dā
虺	huǐ
虺	huī
殂	cú
殇	shāng
殄	tiǎn
殆	dài
轱	gū
轲	kē
轳	lú
轶	yì
轸	zhěn
虿	chài
毖	bì
觇	chān
尜	gá
哐	kuāng
眄	miǎn
眍	kōu
𠳐	bāng
郢	yǐng
眇	miǎo
眊	mào
眈	dān
禺	yú
禺	yù
禺	ǒu
哂	shěn
咴	huī
曷	hé
昴	mǎo
昱	yù
昵	nì
咦	yí
哓	xiāo
哔	bì
畎	quǎn
毗	pí
呲	zī
呲	cī
胄	zhòu
畋	tián
畈	fàn
虼	gè
虻	méng
盅	zhōng
咣	guāng
哕	yuě
哕	huì
剐	guǎ
郧	yún
咻	xiū
囿	yòu
咿	yī
哌	pài
哙	kuài
哚	duǒ
咯	lo
咯	kǎ
咯	luò
咯	gē
咩	miē
咤	zhà
哝	nóng
哏	gén
哏	hěn
哞	mōu
峙	zhì
峙	shì
峣	yáo
罘	fú
帧	zhēn
峒	tóng
峒	dòng
峤	jiào
峤	qiáo
峋	xún
峥	zhēng
贶	kuàng
钚	bù
钛	tài
钡	bèi
钣	bǎn
钤	qián
钨	wū
钫	fāng
钯	bǎ
钯	pá
氡	dōng
氟	fú
牯	gǔ
郜	gào
秕	bǐ
秭	zǐ
竽	yú
笈	jí
笃	dǔ
俦	chóu
俨	yǎn
俅	qiú
俪	lì
叟	sǒu
垡	fá
牮	jiàn
俣	yǔ
俚	lǐ
皈	guī
俑	yǒng
俟	sì
俟	qí
逅	hòu
徇	xùn
徉	yáng
舢	shān
俞	yú
俞	yù
俞	shù
郗	xī
俎	zǔ
郤	xì
爰	yuán
郛	fú
瓴	líng
胨	dòng
胪	lú
胛	jiǎ
胂	shèn
胙	zuò
胍	guā
胗	zhēn
胝	zhī
朐	qú
朐	xù
朐	chǔn
胫	jìng
鸨	bǎo
匍	pú
狨	róng
狯	kuài
飑	biāo
狩	shòu
狲	sūn
訇	hōng
逄	páng
昝	zǎn
饷	xiǎng
饸	hé
饹	gē
饹	le
胤	yìn
孪	luán
娈	luán
弈	yì
奕	yì
庥	xiū
疬	lì
疣	yóu
疥	jiè
疭	zòng
庠	xiáng
竑	hóng
彦	yàn
飒	sà
闼	tà
闾	lǘ
闿	kǎi
阂	hé
羑	yǒu
迸	bèng
籼	xiān
酋	qiú
炳	bǐng
炻	shí
炽	chì
炯	jiǒng
烀	hū
炷	zhù
烃	tīng
洱	ěr
洹	huán
洧	wěi
洌	liè
浃	jiā
洇	yīn
洄	huí
洙	zhū
涎	xián
洎	jì
洫	xù
浍	kuài
浍	huì
洮	táo
洵	xún
浒	hǔ
浒	xǔ
浔	xún
浕	jìn
洳	rù
恸	tòng
恓	xī
恓	qī
恓	xù
恹	yān
恫	dòng
恺	kǎi
恻	cè
恂	xún
恪	kè
恽	yùn
宥	yòu
扃	jiōng
衲	nà
衽	rèn
衿	jīn
袂	mèi
祛	qū
祜	hù
祓	fú
祚	zuò
诮	qiào
祗	zhī
祢	mí
诰	gào
诳	kuáng
鸩	zhèn
昶	chǎng
郡	jùn
咫	zhǐ
弭	mǐ
牁	kē
胥	xū
陛	bì
陟	zhì
娅	yà
姮	héng
娆	ráo
娆	rǎo
姝	shū
姣	jiāo
姣	xiáo
姘	pīn
姹	chà
怼	duì
羿	yì
炱	tái
矜	jīn
矜	qín
矜	guān
绔	kù
骁	xiāo
骅	huá
绗	háng
绛	jiàng
骈	pián
耖	chào
挈	qiè
珥	ěr
珙	gǒng
顼	xū
珰	dāng
珩	héng
珧	yáo
珣	xún
珞	luò
琤	chēng
珲	hún
珲	huī
敖	áo
恚	huì
埔	pǔ
埔	bù
埕	chéng
埘	shí
埙	xūn
埚	guō
挹	yì
耆	qí
耆	shì
耄	mào
埒	liè
捋	luō
捋	lǚ
贽	zhì
垸	yuàn
垸	huán
捃	jùn
盍	hé
荸	bí
莆	pú
莳	shì
莳	shí
莴	wō
莪	é
莠	yǒu
莓	méi
莜	yóu
莅	lì
荼	tú
莩	fú
莩	piǎo
荽	suī
莸	yóu
荻	dí
莘	shēn
莘	xīn
莎	suō
莎	shā
莞	guān
莞	guǎn
莞	wǎn
莨	làng
莨	liáng
鸪	gū
莼	chún
栲	kǎo
栳	lǎo
郴	chēn
桓	huán
桡	ráo
桡	náo
桎	zhì
桢	zhēn
桤	qī
梃	tǐng
梃	tìng
栝	guā
栝	tiǎn
栝	kuò
桕	jiù
桁	héng
桁	háng
桧	guì
桧	huì
桅	wéi
栟	bēn
栟	bīng
桉	ān
栩	xǔ
逑	qiú
逋	bū
彧	yù
鬲	gé
鬲	lì
豇	jiāng
酐	gān
逦	lǐ
厝	cuò
孬	nāo
砝	fǎ
砹	ài
砺	lì
砧	zhēn
砷	shēn
砟	zhǎ
砼	tóng
砥	dǐ
砣	tuó
剞	jī
砻	lóng
轼	shì
轾	zhì
辂	lù
鸫	dōng
趸	dǔn
龀	chèn
鸬	lú
虔	qián
逍	xiāo
眬	lóng
唛	mà
晟	shèng
晟	chéng
眩	xuàn
眙	yí
眙	chì
哧	chī
哽	gěng
唔	wù
唔	wú
唔	ńg
唔	ń
晁	cháo
晏	yàn
鸮	xiāo
趵	bào
趵	bō
趿	tā
畛	zhěn
蚨	fú
蚜	yá
蚍	pí
蚋	ruì
蚬	xiǎn
蚝	háo
蚧	jiè
唢	suǒ
圄	yǔ
唣	zào
唏	xī
盎	àng
唑	zuò
崂	láo
崃	lái
罡	gāng
罟	gǔ
峪	yù
觊	jì
赅	gāi
钰	yù
钲	zhēng
钲	zhèng
钴	gǔ
钵	bō
钹	bó
钺	yuè
钽	tǎn
钼	mù
钿	diàn
钿	tián
铀	yóu
铂	bó
铄	shuò
铆	mǎo
铈	shì
铉	xuàn
铊	tā
铊	tuó
铋	bì
铌	ní
铍	pí
铍	pī
䥽	pō
铎	duó
氩	yà
氤	yīn
氦	hài
毪	mú
舐	shì
秣	mò
秫	shú
盉	hé
笄	jī
笕	jiǎn
笊	zhào
笏	hù
笆	bā
俸	fèng
倩	qiàn
俵	biào
偌	ruò
俳	pái
俶	chù
俶	tì
倬	zhuō
倏	shū
恁	nèn
恁	nín
倭	wō
倭	wēi
倪	ní
俾	bǐ
倜	tì
隼	sǔn
隽	jùn
隽	juàn
倌	guān
倥	kōng
倥	kǒng
臬	niè
皋	gāo
皋	háo
郫	pí
倨	jù
衄	nǜ
颀	qí
徕	lài
徕	lái
舫	fǎng
釜	fǔ
奚	xī
衾	qīn
胯	kuà
胱	guāng
胴	dòng
胭	yān
脍	kuài
胼	pián
朕	zhèn
脒	mǐ
胺	àn
鸱	chī
玺	xǐ
鸲	qú
狷	juàn
猁	lì
狳	yú
猃	xiǎn
狺	yín
逖	tì
桀	jié
袅	niǎo
饽	bō
凇	sōng
栾	luán
挛	luán
亳	bó
疳	gān
疴	kē
疸	dǎn
疸	da
疽	jū
痈	yōng
疱	pào
痂	jiā
痉	jìng
衮	gǔn
凋	diāo
颃	háng
恣	zì
旆	pèi
旄	máo
旄	mào
旃	zhān
阃	kǔn
阄	jiū
訚	yín
阆	làng
恙	yàng
粑	bā
朔	shuò
郸	dān
烜	xuǎn
烨	yè
烩	huì
烊	yáng
烊	yàng
剡	yǎn
剡	shàn
郯	tán
烬	jìn
涑	sù
浯	wú
涞	lái
涟	lián
娑	suō
涅	niè
涠	wéi
浞	zhuó
涓	juān
浥	yì
涔	cén
浜	bāng
浠	xī
浣	huàn
浚	jùn
浚	xùn
悚	sǒng
悭	qiān
悝	kuī
悝	lǐ
悒	yì
悌	tì
悛	quān
宸	chén
窈	yǎo
剜	wān
诹	zōu
冢	zhǒng
诼	zhuó
袒	tǎn
袢	pàn
祯	zhēn
诿	wěi
谀	yú
谂	shěn
谄	chǎn
谇	suì
屐	jī
屙	ē
陬	zōu
勐	měng
奘	zàng
奘	zhuǎng
牂	zāng
蚩	chī
陲	chuí
姬	jī
娠	shēn
娌	lǐ
娉	pīng
娲	wā
娩	miǎn
娴	xián
娣	dì
娓	wěi
婀	ē
畚	běn
逡	qūn
绠	gěng
骊	lí
绡	xiāo
骋	chěng
绥	suí
绦	tāo
绨	tí
绨	tì
骎	qīn
邕	yōng
鸶	sī
彗	huì
耜	sì
焘	dào
焘	tāo
舂	chōng
琏	liǎn
琇	xiù
麸	fū
揶	yé
埴	zhí
埯	ǎn
捯	dáo
掳	lǔ
掴	guó
埸	yì
埵	duǒ
赧	nǎn
埤	pí
埤	pì
捭	bǎi
逵	kuí
埝	niàn
堋	péng
堋	bèng
堍	tù
掬	jū
鸷	zhì
掖	yè
掖	yē
捽	zuó
掊	pǒu
掊	póu
堉	yù
掸	dǎn
掸	shàn
捩	liè
掮	qián
悫	què
埭	dài
埽	sào
埽	sǎo
掇	duō
掼	guàn
聃	dān
菁	jīng
萁	qí
菘	sōng
堇	jīn
萘	nài
萋	qī
菽	shū
菖	chāng
萜	tiē
萸	yú
萑	huán
棻	fēn
菔	fú
菟	tù
菟	tú
萏	dàn
萃	cuì
菏	hé
菹	zū
菪	dàng
菅	jiān
菀	wǎn
菀	yùn
菀	yù
萦	yíng
菰	gū
菡	hàn
梵	fàn
梿	lián
梿	liǎn
梏	gù
觋	xí
桴	fú
桷	jué
梓	zǐ
棁	zhuō
桫	suō
棂	líng
啬	sè
郾	yǎn
匮	kuì
匮	guì
敕	chì
豉	chǐ
鄄	juàn
酞	tài
酚	fēn
戛	jiá
硎	xíng
硭	máng
硒	xī
硖	xiá
硗	qiāo
硐	dòng
硇	náo
硌	luò
硌	gè
鸸	ér
瓠	hù
匏	páo
厩	jiù
龚	gōng
殒	yǔn
殓	liàn
殍	piǎo
赉	lài
雩	yú
辄	zhé
堑	qiàn
堑	zàn
堑	jiàn
眭	guì
眭	suī
眦	zì
啧	zé
晡	bū
晤	wù
眺	tiào
眵	chī
眸	móu
圊	qīng
喏	nuò
喏	rě
喵	miāo
啉	lán
啉	lín
勖	xù
晞	xī
唵	ǎn
晗	hán
冕	miǎn
啭	zhuàn
畦	qí
趺	fū
啮	niè
跄	qiāng
跄	qiàng
蚶	hān
蛄	gū
蛎	lì
蛆	qū
蚰	yóu
蛊	gǔ
圉	yǔ
蚱	zhà
蛉	líng
蛏	chēng
蚴	yòu
啁	zhōu
啁	zhāo
啁	tiào
啕	táo
唿	hū
啐	cuì
啐	qi
唼	shà
唷	yō
啖	dàn
啵	bo
啶	dìng
啷	lāng
唳	lì
唰	shuā
啜	chuò
啜	chuài
帻	zé
崚	líng
崚	léng
崦	yān
帼	guó
崮	gù
崤	xiáo
崆	kōng
赇	qiú
赈	zhèn
赊	shē
铑	lǎo
铒	ěr
铗	jiá
铙	náo
铟	yīn
铠	kǎi
铡	zhá
铢	zhū
铣	xiǎn
铣	xǐ
铤	tǐng
铤	dìng
铧	huá
铨	quán
铩	shā
铪	hā
铪	kē
铫	diào
铫	tiáo
铫	yáo
铬	gè
铮	zhēng
铯	sè
铰	jiǎo
铱	yī
铳	chòng
铵	ǎn
铷	rú
氪	kè
牾	wǔ
鸹	guā
秾	nóng
逶	wēi
笺	jiān
筇	qióng
笸	pǒ
笪	dá
笮	zuó
笮	zé
笠	lì
笥	sì
笤	tiáo
笳	jiā
笾	biān
笞	chī
偾	fèn
偃	yǎn
偕	xié
偈	jì
偈	jié
傀	kuǐ
傀	guī
偬	zǒng
偻	lǚ
偻	lóu
皑	ái
皎	jiǎo
鸻	héng
徜	cháng
舸	gě
舻	lú
舴	zé
舷	xián
龛	kān
翎	líng
脬	pāo
脘	wǎn
脲	niào
匐	fú
猗	yī
猗	yǐ
猡	luó
猞	shē
猝	cù
斛	hú
猕	mí
馗	kuí
馃	guǒ
馄	hún
鸾	luán
孰	shú
庹	tuǒ
庾	yǔ
痔	zhì
痍	yí
疵	cī
翊	yì
旌	jīng
旎	nǐ
袤	mào
阇	dū
阇	shé
阈	yù
阉	yān
阊	chāng
阋	xì
阍	hūn
阏	è
阏	yān
羟	qiǎng
粝	lì
粕	pò
敝	bì
焐	wù
烯	xī
焓	hán
烽	fēng
焖	mèn
烷	wán
焗	jú
渍	zì
渚	zhǔ
淇	qí
淅	xī
淞	sōng
渎	dú
渎	dòu
涿	zhuō
淖	nào
淖	chuò
淖	zhuō
挲	suō
挲	shā
淠	pì
淠	pèi
涸	hé
渑	miǎn
渑	shéng
淦	gàn
淝	féi
淬	cuì
涪	fú
淙	cóng
涫	guān
渌	lù
淄	zī
惬	qiè
悻	xìng
悱	fěi
惝	chǎng
惝	tǎng
惘	wǎng
悸	jì
惆	chóu
惚	hū
惇	dūn
惮	dàn
惮	dá
窕	tiǎo
窕	yáo
谌	chén
谌	shèn
谏	jiàn
扈	hù
皲	jūn
谑	xuè
裆	dāng
袷	jiá
袷	jié
袷	qiā
裉	kèn
谒	yè
谔	è
谕	yù
谖	xuān
谗	chán
谙	ān
谛	dì
谝	piǎn
逯	lù
郿	méi
隈	wēi
粜	tiào
隍	huáng
隗	wěi
隗	kuí
婧	jìng
婊	biǎo
婕	jié
娼	chāng
婢	bì
婵	chán
胬	nǔ
袈	jiā
翌	yì
恿	yǒng
欸	ēi
欸	éi
欸	ěi
欸	èi
欸	ǎi
绫	líng
骐	qí
绮	qǐ
绯	fēi
绱	shàng
骒	kè
绲	gǔn
骓	zhuī
绶	shòu
绺	liǔ
绻	quǎn
绾	wǎn
骖	cān
缁	zī
耠	huō
琫	běng
琵	pí
琶	pá
琪	qí
瑛	yīng
琦	qí
琥	hǔ
琨	kūn
靓	jìng
靓	liàng
琰	yǎn
琮	cóng
琯	guǎn
琬	wǎn
琛	chēn
琚	jū
辇	niǎn
鼋	yuán
揳	xiē
堞	dié
搽	chá
揸	zhā
揠	yà
堙	yīn
趄	qiè
趄	jū
揖	yī
颉	jié
颉	xié
颉	jiá
塄	léng
揿	qìn
耋	dié
揄	yú
蛩	qióng
蛰	zhé
塆	wān
摒	bìng
揆	kuí
掾	yuàn
聒	guō
葑	fēng
葚	shèn
葚	rèn
靰	wù
靸	sǎ
葳	wēi
葺	qì
葸	xǐ
萼	è
葆	bǎo
葩	pā
葶	tíng
蒌	lóu
萱	xuān
戟	jǐ
葭	jiā
楮	chǔ
棼	fén
椟	dú
棹	zhào
棹	zhuō
椤	luó
棰	chuí
赍	jī
椋	liáng
椁	guǒ
椪	pèng
棣	dì
棣	dài
棣	tì
椐	jū
鹁	bó
覃	tán
覃	qín
酤	gū
酢	zuò
酢	cù
酡	tuó
鹂	lí
厥	jué
殚	dān
殛	jí
雯	wén
雱	pāng
辊	gǔn
辋	wǎng
椠	qiàn
辍	chuò
辎	zī
斐	fěi
斐	fēi
睄	qiáo
睄	shào
睄	xiāo
睑	jiǎn
睇	dì
睃	suō
戢	jí
喋	dié
喋	zhá
嗒	tà
嗒	dā
喃	nán
喱	lí
喹	kuí
晷	guǐ
喈	jiē
跖	zhí
跗	fū
跞	lì
跞	luò
跚	shān
跎	tuó
跏	jiā
跆	tái
蛱	jiá
蛲	náo
蛭	zhì
蛳	sī
蛐	qū
蛔	huí
蛞	kuò
蛴	qí
蛟	jiāo
蛘	yáng
喁	yóng
喁	yú
喟	kuì
啾	jiū
嗖	sōu
喑	yīn
嗟	jiē
喽	lóu
喽	lou
嗞	zī
喀	kā
喔	ō
喔	wō
喙	huì
嵘	róng
嵖	chá
崴	wǎi
崴	wēi
遄	chuán
詈	lì
嵎	yú
崽	zǎi
嵬	wéi
嵛	yú
嵯	cuó
嵝	lǒu
嵫	zī
幄	wò
嵋	méi
赕	dǎn
铻	wú
铻	yǔ
铼	lái
铿	kēng
锃	zèng
锂	lǐ
锆	gào
锇	é
锉	cuò
锏	jiǎn
锑	tī
锒	láng
锔	jū
锕	ā
掣	chè
矬	cuó
氰	qíng
毳	cuì
毽	jiàn
犊	dú
犄	jī
犋	jù
鹄	hú
鹄	gǔ
鹄	hè
犍	jiān
犍	qián
嵇	jī
黍	shǔ
稃	fū
稂	láng
筚	bì
筵	yán
筌	quán
傣	dǎi
傈	lì
舄	xì
牍	dú
傥	tǎng
傧	bīn
遑	huáng
傩	nuó
遁	dùn
徨	huáng
媭	xū
畲	shē
弑	shì
颌	hé
颌	gé
翕	xī
釉	yòu
鹆	yù
舜	shùn
貂	diāo
腈	jīng
腌	ā
腌	yān
腓	féi
腆	tiǎn
腴	yú
腑	fǔ
腚	dìng
腱	jiàn
鱿	yóu
鲀	tún
鲂	fáng
颍	yǐng
猢	hú
猹	chá
猥	wěi
飓	jù
觞	shāng
觚	gū
猱	náo
颎	jiǒng
飧	sūn
馇	chā
馊	sōu
亵	xiè
脔	luán
裒	póu
痣	zhì
痨	láo
痦	wù
痞	pǐ
痤	cuó
痫	xián
痧	shā
赓	gēng
竦	sǒng
瓿	bù
啻	chì
颏	kē
鹇	xián
阑	lán
阒	qù
阕	què
粞	xī
遒	qiú
孳	zī
焯	zhuō
焯	chāo
焜	kūn
焙	bèi
焱	yàn
鹈	tí
湛	zhàn
渫	xiè
湮	yān
湮	yīn
湎	miǎn
湜	shí
渭	wèi
湍	tuān
湫	qiū
湫	jiǎo
溲	sōu
湟	huáng
溆	xù
湲	yuán
湔	jiān
湉	tián
渥	wò
湄	méi
滁	chú
愠	yùn
惺	xīng
愦	kuì
惴	zhuì
愀	qiǎo
愎	bì
愔	yīn
喾	kù
寐	mèi
谟	mó
扉	fēi
裢	lián
裎	chéng
